,GHO (CODE),GHO (DISPLAY),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),SEX (CODE),SEX (DISPLAY),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),Numeric
16,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2016,2016,,USA,United States of America,,,FMLE,Female,,,85.58750
17,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,YEARS0-4,0-4 years,,,CH2,HIV/AIDS,0.00127
18,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases,0.01909
19,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria,0.00000
20,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections,0.00733
21,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity,0.45031
22,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma,0.07844
23,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH12,Sepsis and other infectious conditions of the newborn,0.04889
24,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH13,"Other communicable, perinatal and nutritional conditions",0.13836
25,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries,0.23972
26,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS,0.00248
27,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH3,Diarrhoeal diseases,0.04413
28,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH5,Tetanus,0.00000
29,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH6,Measles,0.00000
30,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH7,Meningitis/encephalitis,0.01671
31,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH8,Malaria,0.00000
32,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity,0.28595
33,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH11,Birth asphyxia and birth trauma,0.04832
34,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn,0.02597
35,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH13,"Other communicable, perinatal and nutritional conditions",0.09588
36,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies,0.24801
37,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH16,Other noncommunicable diseases,0.12565
38,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries,0.11059
39,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH6,Measles,0.00000
40,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis,0.00022
41,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria,0.00000
42,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections,0.00776
43,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity,0.44600
44,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma,0.08855
45,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,MONTHS1-59,1-59 months,,,CH15,Congenital anomalies,0.24818
46,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,MONTHS1-59,1-59 months,,,CH16,Other noncommunicable diseases,0.27630
47,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries,0.23657
48,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS,0.00082
49,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,MONTHS1-59,1-59 months,,,CH3,Diarrhoeal diseases,0.04364
50,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,MONTHS1-59,1-59 months,,,CH5,Tetanus,0.00000
51,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH8,Malaria,0.00000
52,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH9,Acute lower respiratory infections,0.03518
53,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity,0.29104
54,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH11,Birth asphyxia and birth trauma,0.04761
55,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn,0.02822
56,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH13,"Other communicable, perinatal and nutritional conditions",0.09785
57,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies,0.24527
58,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH3,Diarrhoeal diseases,0.00000
59,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH5,Tetanus,0.00000
60,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH6,Measles,0.00000
61,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis,0.00056
62,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria,0.00000
63,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections,0.00568
64,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH12,Sepsis and other infectious conditions of the newborn,0.00000
65,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH13,"Other communicable, perinatal and nutritional conditions",0.03578
66,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH15,Congenital anomalies,0.24606
67,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH16,Other noncommunicable diseases,0.27447
68,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries,0.24144
69,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS,0.00046
70,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH6,Measles,0.00005
71,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH7,Meningitis/encephalitis,0.00691
72,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH8,Malaria,0.00000
73,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH9,Acute lower respiratory infections,0.03017
74,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity,0.29731
75,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH11,Birth asphyxia and birth trauma,0.04404
76,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn,0.02993
77,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,DAYS0-27,0-27 days,,,CH17,Injuries,0.00955
78,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH2,HIV/AIDS,0.00000
79,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH3,Diarrhoeal diseases,0.00000
80,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH5,Tetanus,0.00000
81,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH6,Measles,0.00000
82,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis,0.00049
83,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH10,Prematurity,0.06484
84,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH11,Birth asphyxia and birth trauma,0.00960
85,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH12,Sepsis and other infectious conditions of the newborn,0.00000
86,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH13,"Other communicable, perinatal and nutritional conditions",0.03802
87,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH15,Congenital anomalies,0.24548
88,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH16,Other noncommunicable diseases,0.27162
89,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases,0.01993
90,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH5,Tetanus,0.00000
91,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH6,Measles,0.00000
92,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH7,Meningitis/encephalitis,0.00582
93,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH8,Malaria,0.00000
94,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH9,Acute lower respiratory infections,0.02705
95,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity,0.29560
96,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,DAYS0-27,0-27 days,,,CH15,Congenital anomalies,0.24750
97,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,DAYS0-27,0-27 days,,,CH16,Other noncommunicable diseases,0.00579
98,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,DAYS0-27,0-27 days,,,CH17,Injuries,0.00985
99,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,DAYS0-27,0-27 days,,,CH2,HIV/AIDS,0.00000
100,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,DAYS0-27,0-27 days,,,CH3,Diarrhoeal diseases,0.00000
101,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,DAYS0-27,0-27 days,,,CH5,Tetanus,0.00000
102,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH8,Malaria,0.00000
103,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH9,Acute lower respiratory infections,0.06186
104,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH10,Prematurity,0.05955
105,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH11,Birth asphyxia and birth trauma,0.00935
106,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH12,Sepsis and other infectious conditions of the newborn,0.00000
107,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH13,"Other communicable, perinatal and nutritional conditions",0.03756
108,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries,0.10990
109,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH2,HIV/AIDS,0.00011
110,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases,0.01939
111,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH5,Tetanus,0.00000
112,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH6,Measles,0.00000
113,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH7,Meningitis/encephalitis,0.00597
114,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH8,Malaria,0.00005
115,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH12,Sepsis and other infectious conditions of the newborn,0.04627
116,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH13,"Other communicable, perinatal and nutritional conditions",0.15548
117,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH15,Congenital anomalies,0.24802
118,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH16,Other noncommunicable diseases,0.00526
119,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH17,Injuries,0.00979
120,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,DAYS0-27,0-27 days,,,CH2,HIV/AIDS,0.00000
121,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH6,Measles,0.00000
122,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH7,Meningitis/encephalitis,0.01629
123,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH8,Malaria,0.00000
124,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH9,Acute lower respiratory infections,0.05563
125,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH10,Prematurity,0.04221
126,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH11,Birth asphyxia and birth trauma,0.00843
127,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies,0.25506
128,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,YEARS0-4,0-4 years,,,CH16,Other noncommunicable diseases,0.13258
129,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries,0.12208
130,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,YEARS0-4,0-4 years,,,CH2,HIV/AIDS,0.00016
131,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases,0.01670
132,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,YEARS0-4,0-4 years,,,CH5,Tetanus,0.00000
133,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,YEARS0-4,0-4 years,,,CH6,Measles,0.00000
134,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections,0.00481
135,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity,0.45305
136,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma,0.07292
137,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH12,Sepsis and other infectious conditions of the newborn,0.04097
138,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH13,"Other communicable, perinatal and nutritional conditions",0.15292
139,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH15,Congenital anomalies,0.25779
140,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH16,Other noncommunicable diseases,0.00610
141,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH3,Diarrhoeal diseases,0.03624
142,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH5,Tetanus,0.00000
143,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH6,Measles,0.00000
144,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH7,Meningitis/encephalitis,0.00802
145,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH8,Malaria,0.00000
146,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH9,Acute lower respiratory infections,0.05103
147,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn,0.02372
148,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH13,"Other communicable, perinatal and nutritional conditions",0.10125
149,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies,0.25624
150,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH16,Other noncommunicable diseases,0.13000
151,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries,0.12171
152,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,YEARS0-4,0-4 years,,,CH2,HIV/AIDS,0.00000
153,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases,0.01452
154,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis,0.00039
155,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria,0.00000
156,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections,0.00430
157,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity,0.45685
158,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma,0.07535
159,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH12,Sepsis and other infectious conditions of the newborn,0.04389
160,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH13,"Other communicable, perinatal and nutritional conditions",0.16034
161,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries,0.26792
162,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS,0.00015
163,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH3,Diarrhoeal diseases,0.03316
164,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH5,Tetanus,0.00000
165,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH6,Measles,0.00000
166,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH7,Meningitis/encephalitis,0.00946
167,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity,0.27793
168,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH11,Birth asphyxia and birth trauma,0.04936
169,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn,0.02361
170,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH13,"Other communicable, perinatal and nutritional conditions",0.10979
171,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies,0.24901
172,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH16,Other noncommunicable diseases,0.12400
173,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries,0.11905
