DIM_COUNTRY_CODE,DIM_YEAR_CODE,DIM_AGEGROUP_CODE,DIM_SEX_CODE,DIM_GHECAUSE_CODE,ATTR_POPULATION_NUMERIC,DIM_GHECAUSE_TITLE,VAL_DALY_RATE100K_NUMERIC,VAL_DALY_COUNT_NUMERIC,VAL_DEATHS_RATE100K_NUMERIC,VAL_DEATHS_COUNT_NUMERIC
USA,2002,ALLAges,BTSX,680,287000000,"Trachea, bronchus, lung cancers",1226.71,3520654.0,55.44,159116.2
USA,2001,ALLAges,BTSX,680,285000000,"Trachea, bronchus, lung cancers",1228.4,3500953.0,55.31,157637.4
USA,2003,ALLAges,BTSX,680,290000000,"Trachea, bronchus, lung cancers",1213.94,3520431.0,55.01,159540.5
USA,2015,ALLAges,BTSX,1180,321000000,Chronic obstructive pulmonary disease,1445.17,4639008.0,54.69,175562.3
USA,2004,ALLAges,BTSX,680,292000000,"Trachea, bronchus, lung cancers",1203.07,3512963.0,54.63,159506.0
USA,2016,ALLAges,BTSX,1180,323000000,Chronic obstructive pulmonary disease,1448.33,4678115.0,54.52,176093.2
USA,2005,ALLAges,BTSX,680,295000000,"Trachea, bronchus, lung cancers",1193.92,3522074.0,54.5,160773.2
USA,2006,ALLAges,BTSX,680,298000000,"Trachea, bronchus, lung cancers",1172.97,3495459.0,53.73,160112.0
USA,2007,ALLAges,BTSX,680,301000000,"Trachea, bronchus, lung cancers",1156.79,3481940.0,53.26,160305.9
USA,2004,ALLAges,BTSX,1140,292000000,Stroke,1080.02,3153652.0,53.17,155269.1
USA,2013,ALLAges,BTSX,1180,316000000,Chronic obstructive pulmonary disease,1418.72,4483164.0,53.12,167859.7
USA,2008,ALLAges,BTSX,680,303000000,"Trachea, bronchus, lung cancers",1144.93,3469137.0,52.96,160475.5
USA,2007,ALLAges,BTSX,950,301000000,Alzheimer disease and other dementias,776.82,2338216.0,52.69,158609.4
USA,2009,ALLAges,BTSX,680,306000000,"Trachea, bronchus, lung cancers",1131.73,3463102.0,52.31,160055.4
USA,2014,ALLAges,BTSX,1180,319000000,Chronic obstructive pulmonary disease,1405.98,4485090.0,52.08,166147.5
USA,2008,ALLAges,BTSX,1180,303000000,Chronic obstructive pulmonary disease,1383.45,4191857.0,52.07,157776.5
USA,2010,ALLAges,BTSX,680,309000000,"Trachea, bronchus, lung cancers",1113.99,3442237.0,51.82,160123.8
USA,2006,ALLAges,BTSX,950,298000000,Alzheimer disease and other dementias,764.47,2278126.0,51.58,153693.8
USA,2011,ALLAges,BTSX,1180,312000000,Chronic obstructive pulmonary disease,1383.65,4316993.0,51.35,160208.2
USA,2012,ALLAges,BTSX,1180,314000000,Chronic obstructive pulmonary disease,1386.67,4354132.0,51.32,161159.8
USA,2011,ALLAges,BTSX,680,312000000,"Trachea, bronchus, lung cancers",1091.99,3407004.0,50.91,158844.1
USA,2012,ALLAges,BTSX,680,314000000,"Trachea, bronchus, lung cancers",1085.69,3409063.0,50.77,159415.8
USA,2005,ALLAges,BTSX,1140,295000000,Stroke,1048.41,3092802.0,50.52,149024.0
USA,2009,ALLAges,BTSX,1180,306000000,Chronic obstructive pulmonary disease,1365.71,4179063.0,50.34,154052.4
USA,2010,ALLAges,BTSX,1180,309000000,Chronic obstructive pulmonary disease,1362.88,4211292.0,50.21,155148.0
USA,2013,ALLAges,BTSX,680,316000000,"Trachea, bronchus, lung cancers",1065.55,3367136.0,49.99,157960.1
USA,2005,ALLAges,BTSX,1180,295000000,Chronic obstructive pulmonary disease,1334.37,3936404.0,49.95,147363.2
USA,2014,ALLAges,BTSX,680,319000000,"Trachea, bronchus, lung cancers",1046.58,3338576.0,49.25,157100.0
USA,2003,ALLAges,BTSX,1180,290000000,Chronic obstructive pulmonary disease,1315.75,3815673.0,49.22,142741.4
USA,2002,ALLAges,BTSX,1180,287000000,Chronic obstructive pulmonary disease,1305.89,3747896.0,49.07,140843.3
USA,2000,ALLAges,BTSX,1180,282000000,Chronic obstructive pulmonary disease,1291.42,3641802.0,48.87,137825.7
USA,2001,ALLAges,BTSX,1180,285000000,Chronic obstructive pulmonary disease,1298.89,3701830.0,48.82,139142.6
USA,2015,ALLAges,BTSX,680,321000000,"Trachea, bronchus, lung cancers",1022.04,3280763.0,48.36,155239.9
USA,2019,ALLAges,BTSX,1140,329000000,Stroke,1055.79,3473545.0,48.18,158519.9
USA,2007,ALLAges,BTSX,1180,301000000,Chronic obstructive pulmonary disease,1312.71,3951260.0,47.91,144222.1
USA,2006,ALLAges,BTSX,1140,298000000,Stroke,1023.58,3050265.0,47.78,142396.0
USA,2018,ALLAges,BTSX,1140,327000000,Stroke,1048.51,3428612.0,47.71,155998.7
USA,2006,ALLAges,BTSX,1180,298000000,Chronic obstructive pulmonary disease,1298.26,3868801.0,47.32,141019.1
USA,2017,ALLAges,BTSX,1140,325000000,Stroke,1042.76,3388983.0,47.31,153763.7
USA,2019,ALLAges,BTSX,680,329000000,"Trachea, bronchus, lung cancers",976.43,3212446.0,47.27,155532.6
USA,2004,ALLAges,BTSX,1180,292000000,Chronic obstructive pulmonary disease,1289.59,3765602.0,47.27,138032.2
USA,2018,ALLAges,BTSX,680,327000000,"Trachea, bronchus, lung cancers",978.29,3199013.0,47.14,154157.3
USA,2007,ALLAges,BTSX,1140,301000000,Stroke,1013.36,3050200.0,47.03,141559.3
USA,2016,ALLAges,BTSX,680,323000000,"Trachea, bronchus, lung cancers",977.39,3156976.0,46.56,150392.8
USA,2008,ALLAges,BTSX,1140,303000000,Stroke,1006.96,3051099.0,46.28,140234.8
USA,2016,ALLAges,BTSX,1140,323000000,Stroke,1016.0,3281668.0,46.17,149116.8
USA,2015,ALLAges,BTSX,1140,321000000,Stroke,989.64,3176758.0,45.69,146675.4
USA,2017,ALLAges,BTSX,680,325000000,"Trachea, bronchus, lung cancers",944.12,3068388.0,45.32,147293.6
USA,2005,ALLAges,BTSX,950,295000000,Alzheimer disease and other dementias,689.42,2033783.0,44.51,131312.8
USA,2009,ALLAges,BTSX,1140,306000000,Stroke,985.07,3014313.0,44.1,134946.7
USA,2010,ALLAges,BTSX,1140,309000000,Stroke,979.59,3026943.0,43.95,135804.3
USA,2014,ALLAges,BTSX,1140,319000000,Stroke,965.93,3081309.0,43.66,139276.5
USA,2011,ALLAges,BTSX,1140,312000000,Stroke,971.03,3029601.0,43.42,135481.0
USA,2012,ALLAges,BTSX,1140,314000000,Stroke,963.5,3025380.0,43.13,135435.9
USA,2013,ALLAges,BTSX,1140,316000000,Stroke,957.95,3027124.0,42.91,135584.2
USA,2004,ALLAges,BTSX,950,292000000,Alzheimer disease and other dementias,646.23,1886998.0,39.65,115772.1
USA,2003,ALLAges,BTSX,950,290000000,Alzheimer disease and other dementias,637.49,1848733.0,38.61,111963.6
USA,2002,ALLAges,BTSX,950,287000000,Alzheimer disease and other dementias,610.73,1752807.0,35.98,103271.5
USA,2001,ALLAges,BTSX,950,285000000,Alzheimer disease and other dementias,579.23,1650797.0,32.82,93550.35
USA,2000,ALLAges,BTSX,950,282000000,Alzheimer disease and other dementias,549.5,1549598.0,30.01,84619.68
USA,2019,ALLAges,BTSX,1270,329000000,Kidney diseases,634.78,2088442.0,26.1,85860.85
USA,2018,ALLAges,BTSX,1270,327000000,Kidney diseases,626.44,2048458.0,25.59,83692.69
USA,2017,ALLAges,BTSX,1270,325000000,Kidney diseases,613.9,1995173.0,24.71,80294.95
USA,2016,ALLAges,BTSX,1270,323000000,Kidney diseases,608.61,1965808.0,24.45,78964.2
USA,2015,ALLAges,BTSX,1270,321000000,Kidney diseases,598.55,1921353.0,24.31,78041.97
USA,2000,ALLAges,BTSX,390,282000000,Lower respiratory infections,362.67,1022730.0,23.8,67111.23
USA,2014,ALLAges,BTSX,1270,319000000,Kidney diseases,579.38,1848236.0,23.51,74990.49
USA,2002,ALLAges,BTSX,390,287000000,Lower respiratory infections,355.69,1020841.0,23.5,67431.76
USA,2010,ALLAges,BTSX,1270,309000000,Kidney diseases,560.71,1732581.0,23.45,72458.14
USA,2013,ALLAges,BTSX,1270,316000000,Kidney diseases,568.97,1797945.0,23.21,73335.7
USA,2003,ALLAges,BTSX,390,290000000,Lower respiratory infections,362.07,1049990.0,23.12,67056.39
USA,2000,ALLAges,BTSX,650,282000000,Colon and rectum cancers,488.87,1378619.0,23.02,64925.78
USA,2009,ALLAges,BTSX,1270,306000000,Kidney diseases,555.93,1701149.0,22.82,69815.94
USA,2008,ALLAges,BTSX,1270,303000000,Kidney diseases,553.89,1678272.0,22.69,68736.37
USA,2019,ALLAges,BTSX,870,329000000,Drug use disorders,1948.81,6411582.0,22.62,74434.62
USA,2012,ALLAges,BTSX,1270,314000000,Kidney diseases,553.48,1737941.0,22.52,70708.91
USA,2001,ALLAges,BTSX,650,285000000,Colon and rectum cancers,484.97,1382159.0,22.51,64148.65
USA,2011,ALLAges,BTSX,1270,312000000,Kidney diseases,546.9,1706330.0,22.38,69816.54
USA,2001,ALLAges,BTSX,390,285000000,Lower respiratory infections,342.13,975078.5,22.35,63695.05
USA,2002,ALLAges,BTSX,650,287000000,Colon and rectum cancers,481.82,1382834.0,22.28,63941.4
USA,2005,ALLAges,BTSX,390,295000000,Lower respiratory infections,342.58,1010625.0,21.98,64854.34
USA,2007,ALLAges,BTSX,1270,301000000,Kidney diseases,543.94,1637252.0,21.95,66080.64
USA,2018,ALLAges,BTSX,870,327000000,Drug use disorders,1904.14,6226536.0,21.88,71554.44
USA,2003,ALLAges,BTSX,650,290000000,Colon and rectum cancers,464.62,1347384.0,21.66,62819.98
USA,2006,ALLAges,BTSX,1270,298000000,Kidney diseases,541.23,1612851.0,21.54,64187.0
USA,2005,ALLAges,BTSX,1270,295000000,Kidney diseases,533.03,1572438.0,21.22,62586.69
USA,2017,ALLAges,BTSX,870,325000000,Drug use disorders,1859.86,6044560.0,21.08,68504.17
USA,2004,ALLAges,BTSX,390,292000000,Lower respiratory infections,327.05,954991.1,21.0,61325.38
USA,2002,ALLAges,BTSX,800,287000000,Diabetes mellitus,894.24,2566457.0,20.97,60185.61
USA,2017,ALLAges,BTSX,1120,325000000,Hypertensive heart disease,422.34,1372612.0,20.96,68116.05
USA,2003,ALLAges,BTSX,800,290000000,Diabetes mellitus,921.4,2672065.0,20.88,60550.14
USA,2001,ALLAges,BTSX,800,285000000,Diabetes mellitus,861.51,2455300.0,20.72,59053.76
USA,2004,ALLAges,BTSX,650,292000000,Colon and rectum cancers,444.02,1296538.0,20.65,60312.27
USA,2004,ALLAges,BTSX,1270,292000000,Kidney diseases,521.63,1523173.0,20.52,59906.03
USA,2003,ALLAges,BTSX,1270,290000000,Kidney diseases,519.27,1505881.0,20.5,59438.51
USA,2000,ALLAges,BTSX,800,282000000,Diabetes mellitus,838.48,2364502.0,20.49,57789.57
USA,2005,ALLAges,BTSX,800,295000000,Diabetes mellitus,973.72,2872477.0,20.36,60071.89
USA,2005,ALLAges,BTSX,650,295000000,Colon and rectum cancers,436.84,1288670.0,20.26,59762.19
USA,2004,ALLAges,BTSX,800,292000000,Diabetes mellitus,939.03,2741969.0,20.22,59054.82
USA,2006,ALLAges,BTSX,650,298000000,Colon and rectum cancers,438.26,1306025.0,20.13,59988.28
USA,2019,ALLAges,BTSX,1120,329000000,Hypertensive heart disease,408.04,1342444.0,20.05,65960.5
USA,2007,ALLAges,BTSX,650,301000000,Colon and rectum cancers,438.26,1319168.0,19.96,60074.88
USA,2018,ALLAges,BTSX,1120,327000000,Hypertensive heart disease,404.52,1322769.0,19.88,65009.12
USA,2002,ALLAges,BTSX,1270,287000000,Kidney diseases,503.73,1445704.0,19.88,57068.39
USA,2008,ALLAges,BTSX,650,303000000,Colon and rectum cancers,438.06,1327325.0,19.71,59735.42
USA,2006,ALLAges,BTSX,390,298000000,Lower respiratory infections,310.16,924287.0,19.48,58053.75
USA,2016,ALLAges,BTSX,870,323000000,Drug use disorders,1757.93,5678104.0,19.37,62560.17
USA,2011,ALLAges,BTSX,650,312000000,Colon and rectum cancers,435.12,1357571.0,19.24,60016.51
USA,2006,ALLAges,BTSX,800,298000000,Diabetes mellitus,993.3,2960031.0,19.22,57280.11
USA,2001,ALLAges,BTSX,1270,285000000,Kidney diseases,490.81,1398814.0,19.21,54757.38
USA,2009,ALLAges,BTSX,650,306000000,Colon and rectum cancers,430.42,1317086.0,19.21,58773.07
USA,2016,ALLAges,BTSX,1120,323000000,Hypertensive heart disease,400.09,1292278.0,19.2,62002.93
USA,2008,ALLAges,BTSX,390,303000000,Lower respiratory infections,312.64,947284.1,19.18,58111.27
USA,2010,ALLAges,BTSX,650,309000000,Colon and rectum cancers,427.7,1321594.0,19.04,58836.33
USA,2012,ALLAges,BTSX,650,314000000,Colon and rectum cancers,432.59,1358331.0,19.03,59753.58
USA,2015,ALLAges,BTSX,650,321000000,Colon and rectum cancers,435.13,1396754.0,18.95,60833.85
USA,2013,ALLAges,BTSX,650,316000000,Colon and rectum cancers,432.48,1366636.0,18.93,59833.11
USA,2018,ALLAges,BTSX,650,327000000,Colon and rectum cancers,428.26,1400403.0,18.84,61609.91
USA,2016,ALLAges,BTSX,650,323000000,Colon and rectum cancers,436.05,1408441.0,18.82,60777.14
USA,2017,ALLAges,BTSX,650,325000000,Colon and rectum cancers,435.78,1416286.0,18.8,61110.49
USA,2019,ALLAges,BTSX,650,329000000,Colon and rectum cancers,424.81,1397636.0,18.79,61827.15
USA,2014,ALLAges,BTSX,650,319000000,Colon and rectum cancers,428.29,1366236.0,18.71,59672.06
USA,2015,ALLAges,BTSX,870,321000000,Drug use disorders,1684.15,5406137.0,18.7,60016.24
USA,2019,ALLAges,BTSX,800,329000000,Diabetes mellitus,1299.41,4275075.0,18.67,61418.24
USA,2013,ALLAges,BTSX,390,316000000,Lower respiratory infections,305.48,965309.1,18.51,58480.46
USA,2007,ALLAges,BTSX,800,301000000,Diabetes mellitus,1022.02,3076276.0,18.47,55592.5
USA,2019,ALLAges,BTSX,390,329000000,Lower respiratory infections,310.53,1021657.0,18.33,60317.38
USA,2000,ALLAges,BTSX,1270,282000000,Kidney diseases,472.32,1331930.0,18.28,51554.68
USA,2018,ALLAges,BTSX,800,327000000,Diabetes mellitus,1254.32,4101628.0,18.23,59605.88
USA,2015,ALLAges,BTSX,1120,321000000,Hypertensive heart disease,378.56,1215173.0,18.17,58328.66
USA,2009,ALLAges,BTSX,390,306000000,Lower respiratory infections,336.08,1028412.0,18.16,55560.33
USA,2015,ALLAges,BTSX,390,321000000,Lower respiratory infections,295.06,947152.4,18.14,58213.46
USA,2007,ALLAges,BTSX,390,301000000,Lower respiratory infections,288.8,869302.6,18.07,54398.5
USA,2018,ALLAges,BTSX,390,327000000,Lower respiratory infections,305.24,998135.6,18.06,59062.8
USA,2017,ALLAges,BTSX,800,325000000,Diabetes mellitus,1229.78,3996798.0,17.96,58364.15
USA,2008,ALLAges,BTSX,800,303000000,Diabetes mellitus,1059.64,3210697.0,17.9,54224.8
USA,2011,ALLAges,BTSX,390,312000000,Lower respiratory infections,297.78,929086.9,17.8,55529.28
USA,2014,ALLAges,BTSX,390,319000000,Lower respiratory infections,313.01,998508.3,17.69,56431.18
USA,2017,ALLAges,BTSX,390,325000000,Lower respiratory infections,297.74,967657.3,17.52,56942.81
USA,2011,ALLAges,BTSX,800,312000000,Diabetes mellitus,1128.25,3520154.0,17.25,53834.94
USA,2016,ALLAges,BTSX,800,323000000,Diabetes mellitus,1201.11,3879571.0,17.18,55482.88
USA,2015,ALLAges,BTSX,800,321000000,Diabetes mellitus,1185.8,3806420.0,17.11,54927.66
USA,2009,ALLAges,BTSX,800,306000000,Diabetes mellitus,1085.44,3321452.0,17.03,52108.23
USA,2014,ALLAges,BTSX,1120,319000000,Hypertensive heart disease,362.49,1156341.0,16.98,54154.97
USA,2012,ALLAges,BTSX,800,314000000,Diabetes mellitus,1134.86,3563454.0,16.91,53097.68
USA,2013,ALLAges,BTSX,800,316000000,Diabetes mellitus,1151.4,3638431.0,16.89,53378.32
USA,2000,ALLAges,BTSX,700,282000000,Breast cancer,469.79,1324816.0,16.88,47605.35
USA,2014,ALLAges,BTSX,800,319000000,Diabetes mellitus,1162.46,3708252.0,16.72,53345.63
USA,2010,ALLAges,BTSX,390,309000000,Lower respiratory infections,274.34,847718.6,16.71,51648.87
USA,2010,ALLAges,BTSX,800,309000000,Diabetes mellitus,1100.06,3399198.0,16.62,51369.82
USA,2013,ALLAges,BTSX,1120,316000000,Hypertensive heart disease,352.68,1114472.0,16.62,52522.43
USA,2012,ALLAges,BTSX,390,314000000,Lower respiratory infections,267.16,838868.9,16.6,52132.24
USA,2001,ALLAges,BTSX,700,285000000,Breast cancer,464.25,1323106.0,16.48,46980.44
USA,2002,ALLAges,BTSX,700,287000000,Breast cancer,456.87,1311218.0,16.37,46995.55
USA,2016,ALLAges,BTSX,390,323000000,Lower respiratory infections,288.63,932265.0,16.33,52757.84
USA,2002,ALLAges,BTSX,1530,287000000,Road injury,984.04,2824200.0,16.23,46574.73
USA,2003,ALLAges,BTSX,700,290000000,Breast cancer,453.34,1314688.0,16.23,47078.74
USA,2019,ALLAges,BTSX,1610,329000000,Self-harm,723.32,2379707.0,16.14,53098.78
USA,2003,ALLAges,BTSX,1530,290000000,Road injury,964.65,2797492.0,15.96,46285.5
USA,2017,ALLAges,BTSX,1610,325000000,Self-harm,720.52,2341681.0,15.89,51642.91
USA,2004,ALLAges,BTSX,700,292000000,Breast cancer,442.61,1292430.0,15.83,46219.03
USA,2014,ALLAges,BTSX,870,319000000,Drug use disorders,1517.41,4840550.0,15.83,50512.0
USA,2004,ALLAges,BTSX,1530,292000000,Road injury,958.11,2797682.0,15.81,46157.5
USA,2012,ALLAges,BTSX,1120,314000000,Hypertensive heart disease,335.89,1054698.0,15.8,49599.08
USA,2005,ALLAges,BTSX,700,295000000,Breast cancer,439.01,1295076.0,15.76,46483.26
USA,2005,ALLAges,BTSX,1530,295000000,Road injury,949.65,2801480.0,15.73,46393.88
USA,2018,ALLAges,BTSX,1610,327000000,Self-harm,702.92,2298535.0,15.69,51298.3
USA,2001,ALLAges,BTSX,1530,285000000,Road injury,958.0,2730306.0,15.68,44676.48
USA,2000,ALLAges,BTSX,1530,282000000,Road injury,959.9,2706913.0,15.66,44148.05
USA,2006,ALLAges,BTSX,1530,298000000,Road injury,945.69,2818148.0,15.6,46473.76
USA,2006,ALLAges,BTSX,700,298000000,Breast cancer,431.06,1284553.0,15.46,46072.0
USA,2011,ALLAges,BTSX,1120,312000000,Hypertensive heart disease,330.53,1031244.0,15.4,48044.63
USA,2007,ALLAges,BTSX,700,301000000,Breast cancer,420.62,1266076.0,15.22,45803.43
USA,2016,ALLAges,BTSX,1610,323000000,Self-harm,681.09,2199916.0,15.15,48935.18
USA,2008,ALLAges,BTSX,700,303000000,Breast cancer,418.8,1268966.0,15.14,45879.96
USA,2011,ALLAges,BTSX,700,312000000,Breast cancer,414.19,1292277.0,15.1,47118.48
USA,2009,ALLAges,BTSX,1120,306000000,Hypertensive heart disease,329.36,1007855.0,15.08,46159.78
USA,2012,ALLAges,BTSX,700,314000000,Breast cancer,411.89,1293330.0,15.07,47322.56
USA,2008,ALLAges,BTSX,1120,303000000,Hypertensive heart disease,324.26,982517.0,15.07,45657.38
USA,2010,ALLAges,BTSX,1120,309000000,Hypertensive heart disease,325.55,1005956.0,15.07,46567.78
USA,2009,ALLAges,BTSX,700,306000000,Breast cancer,418.01,1279111.0,15.04,46033.79
USA,2010,ALLAges,BTSX,700,309000000,Breast cancer,411.18,1270541.0,14.96,46225.48
USA,2007,ALLAges,BTSX,1530,301000000,Road injury,908.36,2734177.0,14.9,44863.42
USA,2017,ALLAges,BTSX,700,325000000,Breast cancer,398.3,1294489.0,14.88,48367.66
USA,2015,ALLAges,BTSX,700,321000000,Breast cancer,402.35,1291558.0,14.87,47717.08
USA,2013,ALLAges,BTSX,700,316000000,Breast cancer,405.68,1281946.0,14.86,46955.94
USA,2014,ALLAges,BTSX,700,319000000,Breast cancer,402.64,1284429.0,14.83,47317.89
USA,2018,ALLAges,BTSX,700,327000000,Breast cancer,394.85,1291149.0,14.82,48469.43
USA,2019,ALLAges,BTSX,700,329000000,Breast cancer,392.71,1292013.0,14.79,48670.71
USA,2016,ALLAges,BTSX,700,323000000,Breast cancer,399.93,1291775.0,14.77,47694.56
USA,2007,ALLAges,BTSX,1120,301000000,Hypertensive heart disease,311.41,937346.7,14.64,44058.01
USA,2005,ALLAges,BTSX,1120,295000000,Hypertensive heart disease,306.81,905075.5,14.63,43153.95
USA,2006,ALLAges,BTSX,1120,298000000,Hypertensive heart disease,308.63,919718.6,14.52,43257.44
USA,2015,ALLAges,BTSX,1610,321000000,Self-harm,638.92,2050936.0,14.39,46203.69
USA,2004,ALLAges,BTSX,1120,292000000,Hypertensive heart disease,303.64,886640.0,14.33,41840.17
USA,2013,ALLAges,BTSX,870,316000000,Drug use disorders,1411.94,4461734.0,14.28,45113.02
USA,2003,ALLAges,BTSX,1120,290000000,Hypertensive heart disease,299.99,869969.8,14.16,41051.0
USA,2000,ALLAges,BTSX,760,282000000,"Lymphomas, multiple myeloma",320.12,902742.1,14.1,39753.43
USA,2014,ALLAges,BTSX,1610,319000000,Self-harm,612.74,1954650.0,13.96,44519.39
USA,2001,ALLAges,BTSX,760,285000000,"Lymphomas, multiple myeloma",313.34,893029.9,13.81,39354.25
USA,2017,ALLAges,BTSX,670,325000000,Pancreas cancer,283.87,922582.3,13.67,44441.27
USA,2002,ALLAges,BTSX,760,287000000,"Lymphomas, multiple myeloma",306.37,879276.1,13.63,39114.61
USA,2013,ALLAges,BTSX,1610,316000000,Self-harm,596.88,1886147.0,13.57,42869.79
USA,2012,ALLAges,BTSX,1610,314000000,Self-harm,598.14,1878168.0,13.51,42435.42
USA,2019,ALLAges,BTSX,670,329000000,Pancreas cancer,275.27,905653.8,13.46,44292.59
USA,2018,ALLAges,BTSX,670,327000000,Pancreas cancer,276.45,903977.7,13.45,43967.56
USA,2008,ALLAges,BTSX,1530,303000000,Road injury,825.95,2502632.0,13.44,40721.45
USA,2002,ALLAges,BTSX,1120,287000000,Hypertensive heart disease,282.32,810248.3,13.43,38543.19
USA,2011,ALLAges,BTSX,1610,312000000,Self-harm,595.6,1858272.0,13.37,41721.68
USA,2016,ALLAges,BTSX,670,323000000,Pancreas cancer,279.06,901358.9,13.37,43190.51
USA,2003,ALLAges,BTSX,760,290000000,"Lymphomas, multiple myeloma",293.36,850735.6,13.21,38316.98
USA,2019,ALLAges,BTSX,1230,329000000,Cirrhosis of the liver,395.58,1301452.0,13.19,43402.47
USA,2010,ALLAges,BTSX,1610,309000000,Self-harm,582.41,1799662.0,13.1,40482.1
USA,2015,ALLAges,BTSX,670,321000000,Pancreas cancer,273.63,878365.5,13.09,42020.15
USA,2018,ALLAges,BTSX,1230,327000000,Cirrhosis of the liver,390.91,1278270.0,12.97,42424.56
