,GHO (CODE),GHO (DISPLAY),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),SEX (CODE),SEX (DISPLAY),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY)
73,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH9,Acute lower respiratory infections
74,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity
75,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH11,Birth asphyxia and birth trauma
76,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn
77,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,DAYS0-27,0-27 days,,,CH17,Injuries
78,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH2,HIV/AIDS
79,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH3,Diarrhoeal diseases
80,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH5,Tetanus
81,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH6,Measles
82,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis
83,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH10,Prematurity
84,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH11,Birth asphyxia and birth trauma
85,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH12,Sepsis and other infectious conditions of the newborn
86,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH13,"Other communicable, perinatal and nutritional conditions"
87,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH15,Congenital anomalies
88,MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,,USA,United States of America,MONTHS1-59,1-59 months,,,CH16,Other noncommunicable diseases
89,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases
90,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH5,Tetanus
91,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH6,Measles
92,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH7,Meningitis/encephalitis
93,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH8,Malaria
94,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH9,Acute lower respiratory infections
95,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity
96,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,DAYS0-27,0-27 days,,,CH15,Congenital anomalies
97,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,DAYS0-27,0-27 days,,,CH16,Other noncommunicable diseases
98,MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,,USA,United States of America,DAYS0-27,0-27 days,,,CH17,Injuries
99,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,DAYS0-27,0-27 days,,,CH2,HIV/AIDS
100,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,DAYS0-27,0-27 days,,,CH3,Diarrhoeal diseases
101,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,DAYS0-27,0-27 days,,,CH5,Tetanus
102,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH8,Malaria
103,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH9,Acute lower respiratory infections
104,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH10,Prematurity
105,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH11,Birth asphyxia and birth trauma
106,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH12,Sepsis and other infectious conditions of the newborn
107,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,MONTHS1-59,1-59 months,,,CH13,"Other communicable, perinatal and nutritional conditions"
108,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries
109,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH2,HIV/AIDS
110,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases
111,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH5,Tetanus
112,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH6,Measles
113,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH7,Meningitis/encephalitis
114,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,YEARS0-4,0-4 years,,,CH8,Malaria
115,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH12,Sepsis and other infectious conditions of the newborn
116,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH13,"Other communicable, perinatal and nutritional conditions"
117,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH15,Congenital anomalies
118,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH16,Other noncommunicable diseases
119,MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,,USA,United States of America,DAYS0-27,0-27 days,,,CH17,Injuries
120,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,DAYS0-27,0-27 days,,,CH2,HIV/AIDS
121,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH6,Measles
122,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH7,Meningitis/encephalitis
123,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH8,Malaria
124,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH9,Acute lower respiratory infections
125,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH10,Prematurity
126,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,MONTHS1-59,1-59 months,,,CH11,Birth asphyxia and birth trauma
127,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies
128,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,YEARS0-4,0-4 years,,,CH16,Other noncommunicable diseases
129,MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries
130,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,YEARS0-4,0-4 years,,,CH2,HIV/AIDS
131,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases
132,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,YEARS0-4,0-4 years,,,CH5,Tetanus
133,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,YEARS0-4,0-4 years,,,CH6,Measles
134,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections
135,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity
136,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma
137,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH12,Sepsis and other infectious conditions of the newborn
138,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH13,"Other communicable, perinatal and nutritional conditions"
139,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH15,Congenital anomalies
140,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,,USA,United States of America,DAYS0-27,0-27 days,,,CH16,Other noncommunicable diseases
141,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH3,Diarrhoeal diseases
142,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH5,Tetanus
143,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH6,Measles
144,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH7,Meningitis/encephalitis
145,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH8,Malaria
146,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,MONTHS1-59,1-59 months,,,CH9,Acute lower respiratory infections
147,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn
148,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH13,"Other communicable, perinatal and nutritional conditions"
149,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies
150,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH16,Other noncommunicable diseases
151,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries
152,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,YEARS0-4,0-4 years,,,CH2,HIV/AIDS
153,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases
154,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis
155,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria
156,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections
157,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity
158,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma
159,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH12,Sepsis and other infectious conditions of the newborn
160,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,DAYS0-27,0-27 days,,,CH13,"Other communicable, perinatal and nutritional conditions"
161,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries
162,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS
163,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH3,Diarrhoeal diseases
164,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH5,Tetanus
165,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH6,Measles
166,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,MONTHS1-59,1-59 months,,,CH7,Meningitis/encephalitis
167,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity
168,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH11,Birth asphyxia and birth trauma
169,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn
170,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH13,"Other communicable, perinatal and nutritional conditions"
171,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies
172,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH16,Other noncommunicable diseases
173,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries
174,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,DAYS0-27,0-27 days,,,CH5,Tetanus
175,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,DAYS0-27,0-27 days,,,CH6,Measles
176,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis
177,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria
178,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections
179,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity
180,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma
181,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,MONTHS1-59,1-59 months,,,CH15,Congenital anomalies
182,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,MONTHS1-59,1-59 months,,,CH16,Other noncommunicable diseases
183,MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries
184,MORT_300,Distribution of causes of death among children aged < 5 years (%),2016,2016,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS
